CSS品質チェック ベースラインレポート
============================================================
エラー: 0 件 / 警告: 122 件
[WARNING] css/pages/ecr-image-scanning-guide.css:574 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/eks-security-visual-guide.css:849 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/eks-security-visual-guide.css:1084 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/guardduty-eks-protection-guide.css:535 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/guardduty-log-sources-guide.css:424 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/guardduty-log-sources-guide.css:675 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/iam-mfa-emergency-rescue-guide.css:385 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/iam-mfa-emergency-rescue-guide.css:698 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/iam-passrole-vs-assumerole-guide.css:477 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/iam-permission-evaluation-guide.css:410 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/iam-permission-evaluation-guide.css:640 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/kms-throttling-encryption-sdk-guide.css:684 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/kms-throttling-encryption-sdk-guide.css:880 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/lambda-alias-canary.css:15 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/lambda-alias-canary.css:124 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/lambda-edge-x-frame-options-guide.css:698 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/lambda-edge-x-frame-options-guide.css:880 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/nacl-sg-comparison-guide.css:359 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/nacl-sg-comparison-guide.css:728 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/opscenter-guide.css:612 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/quicksight-opensearch-comparison-guide.css:337 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/quicksight-opensearch-comparison-guide.css:773 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/transit-gateway-deep-dive.css:801 [max-nesting-depth] セレクタネストが 4 段になっています（推奨: 3段以下）: `.attachment-comparison-table tbody tr:last-child td`
[WARNING] css/pages/transit-gateway-deep-dive.css:1219 [max-nesting-depth] セレクタネストが 4 段になっています（推奨: 3段以下）: `.quota-table tbody tr:last-child td`
[WARNING] css/pages/vpc-traffic-mirroring-guide.css:406 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/vpc-traffic-mirroring-guide.css:650 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/vpn-vs-privatelink.css:20 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/vpn-vs-privatelink.css:34 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/warmpool-modes-infographic.css:269 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/warmpool-modes-infographic.css:664 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
